,steam_temperature,spike
536,432.5227051,0.0
537,432.4647217,0.0
538,432.3874512,0.0
539,432.4733582,0.0
540,432.273468,0.0
541,432.0973206,0.0
542,432.2591553,0.0
543,432.2802734,0.0
544,441.320145282,1.0
545,436.993477191,1.0
546,432.6668091,0.0
547,432.8143921,0.0
548,432.7807922,0.0
549,441.150747048,1.0
550,432.5007324,0.0
551,432.5265503,0.0
552,432.5032349,0.0
553,432.4472351,0.0
554,432.5570679,0.0
555,432.6679993,0.0
556,432.8753052,0.0
557,433.2050171,0.0
558,433.1100769,0.0
559,432.9439392,0.0
560,432.4975891,0.0
561,432.2238159,0.0
562,431.9540405,0.0
563,431.9685669,0.0
564,432.2331543,0.0
565,432.8827209,0.0
566,433.4733887,0.0
567,433.3559875,0.0
568,432.9936829,0.0
569,433.1486511,0.0
570,433.0099182,0.0
571,432.6100769,0.0
572,432.3982544,0.0
573,432.2129517,0.0
574,432.0491028,0.0
575,432.3973694,0.0
576,432.585144,0.0
577,433.1672668,0.0
578,433.3921204,0.0
579,433.4381409,0.0
580,433.2454224,0.0
581,432.8500671,0.0
582,432.9551697,0.0
583,432.9017639,0.0
584,432.9476318,0.0
585,433.0515442,0.0
586,433.8937073,0.0
587,451.140942965,1.0
588,438.0009155,0.0
589,442.7555237,0.0
590,446.1979675,0.0
591,447.9947205,0.0
592,449.1628113,0.0
593,449.7868042,0.0
